Aged Payables Summary,,
Aug,Aug,decimal
Sep,Sep,decimal
Oct,Oct,decimal
Nov,Nov,decimal
Dec,Dec,decimal
Notes,Notes,text
GlAccountId,GL Account ID,id
PropertyId,Property ID,id
,,
,,
Property Directory,,
Report Endpoint ID,property_directory,
Date Range Options,none,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Visibility Filter,,
Columns Endpoint,Description,Type
Property,Property,string
MarketRent,Market Rent,decimal
Units,Units,integer
SqFt,Sqft,integer
ManagementFlatFee,Management Flat Fee,decimal
ManagementFeePercent,Management Fee Percent,percent
MinimumFee,Minimum Fee,decimal
Reserve,Reserve,decimal
HomeWarrantyExpiration,Home Warranty Expiration,date
InsuranceExpiration,Insurance Expiration,date
TaxYearEnd,Tax Year End,integer
Owners,Owner(s),string
Description,Description,mediumtext
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
TaxAuthority,Tax Authority,string
PayerName,Vendor 1099 Payer,string
Portfolio,Portfolio,mediumtext
PremiumLeadsStatus,Premium Status,string
PremiumLeadsMonthlyCap,Premium Monthly Cap,decimal
PremiumLeadsActivationDate,Premium Activation Date,date
OwnerIDs,Owner ID(s),string
PropertyGroupId,Property Group ID(s),text
Visibility,Visibility,string
MaintenanceLimit,Maintenance Limit,decimal
MaintenanceNotes,Maintenance Notes,text
SiteManagerName,Site Manager Name,string
SiteManagerPhoneNumber,Site Manager Phone Number,string
ManagementFeeType,Management Fee Type,string
LeaseFeeType,Lease Fee Type,string
LeaseFlatFee,Lease Flat Fee,decimal
LeaseFeePercent,Lease Fee Percent,percent
OwnerPaymentType,Owner Payment Type,string
PropertyType,Property Type,string
PropertyCreatedOn,Property Created On,date
PropertyCreatedBy,Property Created By,string
LateFeeType,Late Fee Type,string
LateFeeBaseAmount,Late Fee Base Amount,decimal
LateFeeDailyAmount,Late Fee Daily Amount,decimal
LateFeeGracePeriod,Grace Period (Days),integer
LateFeeGracePeriodFixedDay,Grace Period Fixed Day,integer
LateFeeGraceBalance,Grace Balance,decimal
MaxDailyLateFeesAmount,Max Daily Late Fees Amount,decimal
IgnorePartialPayments,Ignore Partial Payments,string
YearBuilt,Year Built,integer
ContractExpirations,Contract Expiration,date
ManagementStartDate,Management Start Date,date
ManagementEndDate,Management End Date,date
ManagementEndReason,Management End Reason,string
AgentOfRecord,Owner Agent,string
PropertyClass,Class,string
OnlineMaintenanceRequestInstructions,Online Maintenance Request Instructions,mediumtext
Amenities,Amenities,string
,,
,,
Property Group Directory,,
Report Endpoint ID,property_group_directory,
Date Range Options,none,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
PropertyName,Property Name,string
PropertyAddress,Property Address,string
Property,Property,string
PropertyId,Property ID,id
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
PropertyLegacyStreet1,Property Street Address 1 (Alphabetical Sorting),string
PropertyGroupName,Property Group Name,string
Portfolio,Portfolio,string
PropertyGroupId,Property Group ID,id
PortfolioId,Portfolio ID,id
,,
,,
Prospect Source Tracking,,
Report Endpoint ID,prospect_source_tracking,
Date Range Options,"from_date, to_date",
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
Source,Source,string
GuestCards,Guest Cards,integer
Showings,Showings,integer
Applications,Applications,integer
ApprovedApplications,Approved Applications,integer
ConvertedTenants,Converted Tenants,integer
,,
,,
Purchase Order,,
Report Endpoint ID,purchase_order,
Date Range Options,"from_date, to_date",
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
PurchaseOrderNumber,Purchase Order Number,string
Property,Property,string
Description,Description,string
Account,Account,string
UnitName,Unit Name,string
VendorName,Vendor,string
ApprovalStatus,Approval Status,string
LastApprover,Last Approver,string
LastApprovedOn,Last Approved On,string
CreatedAt,Created At,date
RequiredBy,Required By,date
Received,Received,yes_no
Completed,Completed,yes_no
SumOfBills,Sum of Bills,decimal
Amount,Amount,decimal
AllBills,All Bills,string
BilledAmount,Billed Amount (Line Item),decimal
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
AccountName,Account Name,string
AccountNumber,Account Number,string
GlAccountId,Account ID,id
ShippedTo,Shipped To,string
CreatedBy,Created By,string
UpdatedAt,Updated At,date
Canceled,Canceled,yes_no
unit_id,Unit ID,id
PurchaseOrderId,Purchase Order ID,id
Instructions,Instructions,string
WorkOrders,Work Orders,string
RevisionInstructions,Revision Instructions,string
RevisionAssignee,Revision Assignee,string
RevisionRequester,Revision Requester,string
RevisionRequestedDate,Revision Requested Date,string
RevisionCompletedDate,Revision Completed Date,string
,,
,,
Receivables Activity,,
Report Endpoint ID,receivables_activity,
Date Range Options,"from_date, to_date",
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
Property,Property,string
Party,Payee,string
Status,Status,string
TxnAmount,Receipt Amount,decimal
TxnRemarks,Remarks,string
TxnReference,Reference,string
TxnReceiptDate,Receipt Date,date
PortalActivated,Online Portal Activated?,yes_no
LastOnlineReceiptDate,Last Online Portal Payment,date
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
OnlinePaymentsRecurringCount,Online Payments Recurring Count,integer
OnlinePaymentsRecurringTotal,Online Payments Recurring Total,string
MoveIn,Move-in,date
Emails,Emails,string
PhoneNumbers,Phone Numbers,string
CertifiedFundsOnly,Certified Funds Only,yes_no
OptedOutOfPortal,Opted Out Of Portal,yes_no
PaymentType,Payment Type,string
MustPayBalanceInFull,Require Online Payments In Full,yes_no
PropertyList,Portfolio,string
OccupancyId,Occupancy ID,id
SelectedTenantId,Selected Tenant ID,id
UnitId,Unit ID,id
,,
,,
Rent Roll,,
Report Endpoint ID,rent_roll,
Date Range Options,to_date,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
Unit,Unit,string
UnitTags,Tags,text
BdBa,BD/BA,string
Tenant,Tenant,string
Status,Status,string
SquareFt,Sq. Ft.,integer
MarketRent,Market Rent,decimal
Rent,Rent,decimal
Deposit,Deposit,decimal
LeaseFrom,Lease From,date
LeaseTo,Lease To,date
MoveIn,Move-in,date
MoveOut,Move-out,date
PastDue,Past Due,decimal
NSF,NSF Count,integer
Late,Late Count,integer
Property,Property,string
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
PropertyType,Property Type,string
OccupancyId,Occupancy ID,id
UnitId,Unit ID,id
UnitType,Unit Type,string
StatusBySquareFeet,Status by SF,string
MonthlyMarketRentSquareFt,Monthly Market Rent / SF,decimal
AnnualMarketRentSquareFt,Annual Market Rent / SF,decimal
MonthlyRentSquareFt,Monthly Rent / SF,decimal
AnnualRentSquareFt,Annual Rent / SF,decimal
Amenities,Amenities,string
AdditionalTenants,Additional Tenants,string
MonthlyCharges,Monthly Charges,decimal
RentReady,Rent Ready,yes_no
RentStatus,Rent Status,string
LegalRent,Legal Rent,decimal
LastRentIncrease,Last Rent Increase Date,date
NextRentAdjustment,Next Rent Increase Date,date
NextRentIncreaseAmount,Next Rent Increase Amount,decimal
NextRentIncrease,Eligible for Rent Increase,date
ApplicationFee,Application Fee,decimal
AmenitiesPrice,Amenities Price,decimal
ComputedMarketRent,Computed Market Rent,decimal
PropertyGroupId,Property Group ID(s),text
PortfolioId,Portfolio ID,id
